,NUMBER,STREET,CITY,REGION,POSTCODE,ADDRESS,bathrooms,bedrooms,comps_link,graphs_data,home_details,last_sold_date,last_sold_price,lot_size_sqft,map,sqft,valuation_range_high,valuation_range_low,year_built,zestimate
544,16,Amesbury Dr,Bella Vista,AR,72715,16 Amesbury Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70664218_zpid/,http://www.zillow.com/homedetails/16-Amesbury-Dr-Bella-Vista-AR-72715/70664218_zpid/#charts-and-data,http://www.zillow.com/homedetails/16-Amesbury-Dr-Bella-Vista-AR-72715/70664218_zpid/,10/27/2011,65000,10019,http://www.zillow.com/homes/70664218_zpid/,2116,156423.0,137419.0,,146190.0
545,21,Amesbury Dr,Bella Vista,AR,72715,21 Amesbury Dr Bella Vista AR,3.0,2,http://www.zillow.com/homes/comps/70711137_zpid/,http://www.zillow.com/homedetails/21-Amesbury-Dr-Bella-Vista-AR-72715/70711137_zpid/#charts-and-data,http://www.zillow.com/homedetails/21-Amesbury-Dr-Bella-Vista-AR-72715/70711137_zpid/,03/06/2012,50000,11979,http://www.zillow.com/homes/70711137_zpid/,1528,121136.0,103994.0,1980,114279.0
546,23,Amesbury Dr,Bella Vista,AR,72715,23 Amesbury Dr Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70688116_zpid/,http://www.zillow.com/homedetails/23-Amesbury-Dr-Bella-Vista-AR-72715/70688116_zpid/#charts-and-data,http://www.zillow.com/homedetails/23-Amesbury-Dr-Bella-Vista-AR-72715/70688116_zpid/,01/01/2003,1000,11761,http://www.zillow.com/homes/70688116_zpid/,1314,122164.0,102755.0,1978,114172.0
547,29,Amesbury Dr,Bella Vista,AR,72715,29 Amesbury Dr Bella Vista AR,3.0,2,http://www.zillow.com/homes/comps/70637694_zpid/,http://www.zillow.com/homedetails/29-Amesbury-Dr-Bella-Vista-AR-72715/70637694_zpid/#charts-and-data,http://www.zillow.com/homedetails/29-Amesbury-Dr-Bella-Vista-AR-72715/70637694_zpid/,04/29/2013,80000,17424,http://www.zillow.com/homes/70637694_zpid/,1320,118928.0,103071.0,1982,113265.0
548,5,Anchinleck Ln,Bella Vista,AR,72715,5 Anchinleck Ln Bella Vista AR,3.0,3,http://www.zillow.com/homes/comps/70648736_zpid/,http://www.zillow.com/homedetails/5-Anchinleck-Ln-Bella-Vista-AR-72715/70648736_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Anchinleck-Ln-Bella-Vista-AR-72715/70648736_zpid/,12/21/2015,209000,27878,http://www.zillow.com/homes/70648736_zpid/,2428,250190.0,226362.0,2002,238276.0
549,1,Ancroft Ln,Bella Vista,AR,72714,1 Ancroft Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70684198_zpid/,http://www.zillow.com/homedetails/1-Ancroft-Ln-Bella-Vista-AR-72714/70684198_zpid/#charts-and-data,http://www.zillow.com/homedetails/1-Ancroft-Ln-Bella-Vista-AR-72714/70684198_zpid/,10/08/2001,118000,16553,http://www.zillow.com/homes/70684198_zpid/,1733,173667.0,157127.0,2001,165397.0
550,2,Ancroft Ln,Bella Vista,AR,72714,2 Ancroft Ln Bella Vista AR,2.0,,http://www.zillow.com/homes/comps/70704556_zpid/,http://www.zillow.com/homedetails/2-Ancroft-Ln-Bella-Vista-AR-72714/70704556_zpid/#charts-and-data,http://www.zillow.com/homedetails/2-Ancroft-Ln-Bella-Vista-AR-72714/70704556_zpid/,11/15/2012,6000,14810,http://www.zillow.com/homes/70704556_zpid/,1598,147617.0,133559.0,1989,140588.0
551,3,Ancroft Ln,Bella Vista,AR,72714,3 Ancroft Ln Bella Vista AR,2.0,3,http://www.zillow.com/homes/comps/70700776_zpid/,http://www.zillow.com/homedetails/3-Ancroft-Ln-Bella-Vista-AR-72714/70700776_zpid/#charts-and-data,http://www.zillow.com/homedetails/3-Ancroft-Ln-Bella-Vista-AR-72714/70700776_zpid/,06/20/2007,107000,12632,http://www.zillow.com/homes/70700776_zpid/,1276,130557.0,118123.0,2000,124340.0
552,5,Ancroft Ln,Bella Vista,AR,72714,5 Ancroft Ln Bella Vista AR,2.0,4,http://www.zillow.com/homes/comps/70661823_zpid/,http://www.zillow.com/homedetails/5-Ancroft-Ln-Bella-Vista-AR-72714/70661823_zpid/#charts-and-data,http://www.zillow.com/homedetails/5-Ancroft-Ln-Bella-Vista-AR-72714/70661823_zpid/,06/10/2013,186000,19602,http://www.zillow.com/homes/70661823_zpid/,2700,251636.0,227670.0,2006,239653.0
553,6,Ancroft Ln,Bella Vista,AR,72714,6 Ancroft Ln Bella Vista AR,3.0,4,http://www.zillow.com/homes/comps/70600647_zpid/,http://www.zillow.com/homedetails/6-Ancroft-Ln-Bella-Vista-AR-72714/70600647_zpid/#charts-and-data,http://www.zillow.com/homedetails/6-Ancroft-Ln-Bella-Vista-AR-72714/70600647_zpid/,06/28/2006,260000,15682,http://www.zillow.com/homes/70600647_zpid/,2916,250591.0,226725.0,2005,238658.0
